COMPANY,EXPERIENCE,LOCATION,TITLE,SALARY,SKILLS
Huquo Consulting Pvt. Ltd,10+ yrs,Hyderabad,Data Analyst,4241182,Python
AVTAR Career Creators,10+ yrs,Delhi,Data Analyst,3766862,Python
HCL Technologies,10+ yrs,Bengaluru,Data Analyst,3582840,Python
Accenture,10+ yrs,Bengaluru,Data Analyst,3962577,Python
IBM,10+ yrs,Faridabad,Data Analyst,4236591,Excel
KONE,10+ yrs,Delhi,Data Analyst,3505786,Excel
Ericsson,10+ yrs,Bengaluru,Data Analyst,3428494,R
Maestro Headhunters LLP,10+ yrs,Delhi,Data Analyst,4298791,Python
TRH Consultancy Services,10+ yrs,Delhi,Data Analyst,3709857,Python
Axcess Consultancy Services,10+ yrs,Delhi,Data Analyst,3805637,Python
Invesco,10+ yrs,Bengaluru,Data Analyst,3979483,Python
Accumed Practice Management DMCC,10+ yrs,Hyderabad,Data Analyst,3454300,Python
ContractPodAi,10+ yrs,Noida,Data Analyst,3682836,Python
eClerx,10+ yrs,Gurgaon,Data Analyst,4279761,Python
ICERTIS Solutions,10+ yrs,Bengaluru,DevOps Engineer,3911107,Python
Oportun Inc,10+ yrs,Gurgaon,DevOps Engineer,2991921,Python
PayPal,10+ yrs,Delhi,DevOps Engineer,3016160,Python
TransOrg Solutions Services (P) Ltd.,10+ yrs,Bengaluru,DevOps Engineer,3312739,Prometheus
2Coms,10+ yrs,Mumbai,DevOps Engineer,3762562,Oracle
M/S NILE,10+ yrs,Bengaluru,DevOps Engineer,3550657,Python
ZOLVE INNOVATIONS PRIVATE LIMITED,10+ yrs,Bengaluru,DevOps Engineer,3883633,Python
Rolls Royce,10+ yrs,Bengaluru,DevOps Engineer,3551956,Oracle
Applied Materials,10+ yrs,Bengaluru,DevOps Engineer,3215842,Python
Walmart,10+ yrs,Bengaluru,DevOps Engineer,3578126,Python
VISA,10+ yrs,Delhi,DevOps Engineer,3044466,Python
IBM,10+ yrs,Hyderabad,DevOps Engineer,3559620,Python
IBM,10+ yrs,Bengaluru,DevOps Engineer,3412090,Python
Walmart,10+ yrs,Delhi,DevOps Engineer,2808120,Python
CRED,10+ yrs,Bengaluru,DevOps Engineer,3674743,Python
Leading US MNC into Analytics,10+ yrs,Bengaluru,DevOps Engineer,3480974,Prometheus
BLEND360 INDIA PRIVATE LIMITED,10+ yrs,Bengaluru,DevOps Engineer,3420177,Oracle
IBM,10+ yrs,Gurgaon,DevOps Engineer,3662603,Python
HUDSON'S BAY SERVICES PRIVATE LIMITED,10+ yrs,Bengaluru,DevOps Engineer,3214656,Python
Target,10+ yrs,Gurgaon,DevOps Engineer,3786987,Python
Knowledge Foundry Business Solutions Pvt. Ltd.,10+ yrs,Bengaluru,DevOps Engineer,3924894,Python
Hanu Software Solutions,10+ yrs,Bengaluru,DevOps Engineer,3064123,Python
Course5,10+ yrs,Bengaluru,DevOps Engineer,2883062,Prometheus
PayU,10+ yrs,Chennai,DevOps Engineer,3012258,Python
PayPal,10+ yrs,Chennai,DevOps Engineer,3602292,Python
IBM,10+ yrs,Chennai,DevOps Engineer,3117527,Python
IBM,10+ yrs,Delhi,DevOps Engineer,2914384,Oracle
IBM,10+ yrs,Bengaluru,DevOps Engineer,3720697,AWS
IBM,10+ yrs,Bengaluru,DevOps Engineer,2824548,Python
Ashkom Media India Private Limited,10+ yrs,Bengaluru,DevOps Engineer,3596215,Python
IDFC FIRST Bank,10+ yrs,Bengaluru,DevOps Engineer,3558585,Python
eClerx,10+ yrs,Bengaluru,DevOps Engineer,3092532,Python
Master Mind Consultancy,10+ yrs,Mumbai,DevOps Engineer,3352143,Python
cliqhr.com,10+ yrs,Bengaluru,DevOps Engineer,2995979,Oracle
Hucon Solutions,10+ yrs,Bengaluru,DevOps Engineer,3032627,Python
cliqhr.com,10+ yrs,Bengaluru,DevOps Engineer,3458328,Python
Target,10+ yrs,Bengaluru,DevOps Engineer,3780409,Oracle
TransOrg Solutions Services (P) Ltd.,10+ yrs,Mumbai,Data Scientist,3058746,Flask
PRUDENT GLOBALTECH SOLUTIONS PRIVATE LIMITED,10+ yrs,Chennai,Data Scientist,4040494,Flask
Snaphunt,10+ yrs,Bengaluru,Data Scientist,4124721,Flask
EASY DATA ANALYTICS TECHNOLOGY PRIVATE LIMITED,10+ yrs,Bengaluru,Data Scientist,3262122,Flask
Huquo Consulting Pvt. Ltd,10+ yrs,Hyderabad,Data Scientist,4104664,Flask
2Coms,10+ yrs,Bengaluru,Data Scientist,3744577,Flask
AutomationEdge,10+ yrs,Delhi,Data Scientist,4311176,Oracle
Liases Foras Real Estate Rating and Research Private Limited,10+ yrs,Delhi,Data Scientist,3536583,Flask
Groupon,10+ yrs,Bengaluru,Data Scientist,3681009,Flask
ICAV Tech Pvt. Ltd.,10+ yrs,Bengaluru,Data Scientist,4487436,Tableau
Liquiloans,10+ yrs,Delhi,Data Scientist,3490155,Flask
TotalAI Systems India LLP,10+ yrs,Delhi,Data Scientist,4426214,Tableau
IBM,10+ yrs,Delhi,Data Scientist,4289473,Flask
IBM,10+ yrs,Bengaluru,Data Scientist,3443817,Flask
SIBIA Analytics and Consulting Services Pvt Ltd,10+ yrs,Bengaluru,Data Scientist,3364991,Spark
Amdocs,10+ yrs,Hyderabad,Data Scientist,3736543,Flask
Ericsson Global Services,10+ yrs,Bengaluru,Data Scientist,3621469,Flask
Peoplefy Infosolutions Pvt. Ltd.,10+ yrs,Bengaluru,Data Scientist,3248620,Flask
Ocrolus East,10+ yrs,Hyderabad,Data Scientist,3791239,AWS
fountain9,10+ yrs,Chennai,Data Scientist,3130472,Spark
Evolent Health,10+ yrs,Mumbai,Data Scientist,3318234,Flask
Creative Hands HR Consultancy,10+ yrs,Delhi,Data Scientist,4302519,Flask
techcarrot FZ LLC,10+ yrs,Noida,Data Scientist,3142576,Oracle
Tridiagonal Solutions Pvt. Ltd.,10+ yrs,Noida,Data Scientist,3296013,Flask
PayPal,10+ yrs,Delhi,Data Scientist,3034824,Python
Muthoot Microfin,10+ yrs,Bengaluru,Data Scientist,3421506,Python
PayU Payments,10+ yrs,Bengaluru,Data Scientist,3906490,Python
BNY Mellon,10+ yrs,Bengaluru,Data Scientist,4081335,Python
Salesforce,10+ yrs,Bengaluru,Data Scientist,3408341,Excel
PayPal,10+ yrs,Bengaluru,Data Scientist,4495335,Python
PayPal,10+ yrs,Hyderabad,Data Scientist,3809792,Python
PayPal,10+ yrs,Chennai,Data Scientist,3799624,Excel
Impetus,10+ yrs,Chennai,Data Scientist,4085391,R
CHANGE LEADERS CONSULTING,10+ yrs,Chennai,Data Scientist,3805207,Python
CHANGE LEADERS CONSULTING,10+ yrs,Delhi,Data Scientist,3355132,Python
KWALEE INDIA PRIVATE LIMITED,10+ yrs,Delhi,Data Scientist,4356761,Python
Huquo Consulting Pvt. Ltd,10+ yrs,Gurgaon,Data Scientist,4286412,Python
Hucon Solutions,10+ yrs,Bengaluru,Data Scientist,3430923,Python
TalentCo Search Pvt Ltd,10+ yrs,Mumbai,Data Scientist,3327118,Python
Career Infosystem,10+ yrs,Mumbai,Data Scientist,3876458,Python
Confidential,10+ yrs,Bengaluru,Data Scientist,3475565,Excel
Confidential,10+ yrs,Mumbai,Data Scientist,4256867,AWS
Confidential,10+ yrs,Mumbai,Data Scientist,3043224,Python
SAP India Pvt.Ltd,10+ yrs,Delhi,Data Scientist,3435216,Python
ALOIS TECHNOLOGIES LLP,10+ yrs,Delhi,DevOps Engineer,3316808,Python
Jobs Territory,10+ yrs,Delhi,DevOps Engineer,3111584,Python
Randstad India Private Limited,10+ yrs,Mumbai,DevOps Engineer,3780577,Python
TAMCHERRY TECHNOLOGIES PRIVATE LIMITED,10+ yrs,Bengaluru,DevOps Engineer,3816893,Python
Aurigo Software Technologies Pvt Ltd,10+ yrs,Bengaluru,DevOps Engineer,2824289,Prometheus
Aidetic Software Pvt Ltd,10+ yrs,Bengaluru,DevOps Engineer,3903083,Python
TEOCO Software,10+ yrs,Pune,DevOps Engineer,3465981,Prometheus
TrueView HR Consulting Pvt. Ltd,10+ yrs,Delhi,DevOps Engineer,3775982,Python
Spencer N Hills Consulting Pvt Ltd,10+ yrs,Bengaluru,DevOps Engineer,3944511,Python
2Coms,10+ yrs,Mumbai,DevOps Engineer,3400240,Python
TEKISHUB CONSULTING SERVICES PRIVATE LIMITED,10+ yrs,Delhi,DevOps Engineer,3815690,Oracle
CARDINAL HEALTH INTERNATIONAL INDIA PRIVATE LIMITE,10+ yrs,Delhi,DevOps Engineer,2930332,AWS
Encora,10+ yrs,Bengaluru,DevOps Engineer,3758681,Python
TALENT500 TECH (INDIA) PRIVATE LIMITED,10+ yrs,Bengaluru,DevOps Engineer,3891561,Prometheus
Contactx India,10+ yrs,Bengaluru,DevOps Engineer,3272401,Python
IBM,10+ yrs,Bengaluru,DevOps Engineer,3264831,Python
IBM,10+ yrs,Bengaluru,Data Scientist,3182704,Python
NSE.IT Ltd,10+ yrs,Bengaluru,Data Scientist,4162579,Python
NSE.IT Ltd,10+ yrs,Bengaluru,Data Scientist,3026380,AWS
CARDINAL HEALTH INTERNATIONAL INDIA PRIVATE LIMITE,10+ yrs,Bengaluru,Data Scientist,3401525,Python
Corner Tree Consulting,10+ yrs,Bengaluru,Data Scientist,3770326,R
Confidential,10+ yrs,Kolkata,Data Scientist,4352490,Python
Hucon Solutions,10+ yrs,Bengaluru,Data Scientist,3411738,Python
Uniqon Consulting Private Limited,10+ yrs,Bengaluru,Data Scientist,3019369,R
Orbit Techsol (W) Pvt Ltd,10+ yrs,Chennai,Data Scientist,3828706,Spark
Abzooba India Infotech Private Limited,10+ yrs,Chennai,Data Scientist,3456234,Python
Teqforce Solutions Pvt Ltd,10+ yrs,Bengaluru,Data Scientist,4137701,Python
Darshan Soft-Tech Pvt. Ltd,10+ yrs,Bengaluru,Data Scientist,3194251,Python
PRAYOSHA FOOD SERVICES PRIVATE LIMITED,10+ yrs,Hyderabad,Data Scientist,4217388,Python
S P A Enterprise Info Services (India) Private Lim,10+ yrs,Bengaluru,Data Scientist,3473226,Python
Teqforce Solutions Pvt Ltd,10+ yrs,Gurgaon,Data Scientist,4406549,Oracle
Virtue Analytics,10+ yrs,Noida,DevOps Engineer,3870689,Oracle
Virtue Analytics,10+ yrs,Bengaluru,DevOps Engineer,3513221,Python
Virtue Analytics,10+ yrs,Bengaluru,Data Scientist,3797075,Python
Foxberry Technologies Pvt. Ltd.,10+ yrs,Bengaluru,Data Scientist,3866426,R
UNBXD Software Pvt Ltd,10+ yrs,Chennai,DevOps Engineer,3672969,Oracle
Coditas Technologies Pvt Ltd,10+ yrs,Gurgaon,DevOps Engineer,3737944,Python
Pasona,10+ yrs,Bengaluru,DevOps Engineer,2948940,Python
AXA Technology Services India Pvt. Ltd,10+ yrs,Bengaluru,DevOps Engineer,3452553,Python
Peoplefy Infosolutions Pvt. Ltd.,10+ yrs,Bengaluru,DevOps Engineer,2928610,Python
AXA Technology Services India Pvt. Ltd,10+ yrs,Bengaluru,DevOps Engineer,3809370,Python
2Coms,10+ yrs,Delhi,DevOps Engineer,2922911,Python
Green Agrevolution Pvt. Ltd. (DeHaat),10+ yrs,Delhi,DevOps Engineer,3885481,Python
SAP India Pvt.Ltd,10+ yrs,Bengaluru,DevOps Engineer,3034295,Python
GENINVO TECHNOLOGIES PRIVATE LIMITED,10+ yrs,Delhi,DevOps Engineer,3824940,Python
eNFLUENCE IT Services Pvt. Ltd.,10+ yrs,Bengaluru,DevOps Engineer,2870614,Python
eNFLUENCE IT Services Pvt. Ltd.,10+ yrs,Bengaluru,DevOps Engineer,2950342,Python
Accenture,10+ yrs,Noida,DevOps Engineer,2952342,Python
Ankit Bhatnagar Consultant,10+ yrs,Delhi,Data Scientist,3966540,Python
Capgemini,10+ yrs,Bengaluru,Data Scientist,3484582,Python
Vodafone India Services Pvt.Ltd,10+ yrs,Bengaluru,Data Scientist,3795159,Python
Huquo Consulting Pvt. Ltd,10+ yrs,Bengaluru,Data Scientist,3137955,Python
TalentCo Search Pvt Ltd,10+ yrs,Bengaluru,Data Scientist,3034878,Excel
Okda Solutions,10+ yrs,Bengaluru,DevOps Engineer,3853247,Python
Master Mind Consultancy,10+ yrs,Delhi,DevOps Engineer,3524096,Python
Jobs Territory,10+ yrs,Mumbai,DevOps Engineer,3856287,AWS
Sriiom Human Resource Solutions LLP,10+ yrs,Bengaluru,DevOps Engineer,2986604,Python
Applied Materials,10+ yrs,Bengaluru,DevOps Engineer,3735094,Prometheus
The millionvisions,10+ yrs,Bengaluru,DevOps Engineer,3948321,Prometheus
AXA Technology Services India Pvt. Ltd,10+ yrs,Bengaluru,Data Scientist,3664451,R
Knowledge Foundry,10+ yrs,Hyderabad,Data Scientist,4342458,Python
KWALEE INDIA PRIVATE LIMITED,10+ yrs,Hyderabad,Data Scientist,3367560,Excel
TALENT500 TECH (INDIA) PRIVATE LIMITED,10+ yrs,Bengaluru,Data Scientist,3854892,Spark
TeamPlus Staffing Solution Pvt Ltd,10+ yrs,Chennai,Data Scientist,3221189,Python
AXA Technology Services India Pvt. Ltd,10+ yrs,Bengaluru,Data Scientist,3010415,Python
Boston Consulting Group,10+ yrs,Hyderabad,Data Scientist,4171449,Excel
Paytm,10+ yrs,Bengaluru,Data Scientist,4203518,Python
Walmart,10+ yrs,Bengaluru,Data Scientist,3507359,Python
Walmart,10+ yrs,Mumbai,DevOps Engineer,2920389,AWS
Kimberly-Clark Lever Limited,10+ yrs,Chennai,Data Scientist,3798374,Python
Kimberly-Clark Lever Limited,10+ yrs,Chennai,Data Scientist,3090496,Excel
Flipkart,10+ yrs,Chennai,Data Scientist,3349772,Python
Uber,10+ yrs,Chennai,Data Scientist,3517991,Excel
Walmart,10+ yrs,Chennai,Data Scientist,3397116,Spark
Ericsson Global Services,10+ yrs,Chennai,Data Scientist,3033237,Python
Walmart,10+ yrs,Mumbai,Data Scientist,4026745,Excel
Ericsson Global Services,10+ yrs,Bengaluru,Data Scientist,4492376,Python
Flipkart,10+ yrs,Delhi,Data Scientist,3698550,Excel
Delhivery,10+ yrs,Bengaluru,Data Scientist,4301457,PowerBI
Swiggy,10+ yrs,Bengaluru,Data Scientist,3596056,Python
Uber,10+ yrs,Hyderabad,Data Scientist,3783132,Python
AT and T Global Business Services India P. Ltd.,10+ yrs,Bengaluru,Data Scientist,3563655,Python
Thomson Reuters,10+ yrs,Mumbai,Data Scientist,3793172,Python
Microsoft,10+ yrs,Bengaluru,Data Scientist,3433679,Oracle
Accenture,10+ yrs,Bengaluru,Data Scientist,3538617,R
Convergence Infotech Ltd,10+ yrs,Hyderabad,Data Scientist,4051015,Spark
Boston Consulting Group,10+ yrs,Bengaluru,Data Scientist,3306500,Excel
Becton Dickinson India Pvt Ltd,10+ yrs,Mumbai,Data Scientist,3863941,Python
Genpact,10+ yrs,Delhi,Data Scientist,3680301,Python
Groww,10+ yrs,Mumbai,Data Scientist,3857896,Python
Philips,10+ yrs,Mumbai,Data Scientist,3954822,Python
Freshworks,10+ yrs,Mumbai,Data Scientist,4416830,Python
Truecaller,10+ yrs,Mumbai,Data Scientist,4200070,Python
Truecaller,10+ yrs,Mumbai,Data Scientist,3872465,Excel
Bloom Consulting Services,10+ yrs,Mumbai,Data Scientist,3318793,Python
Gojek,10+ yrs,Bengaluru,Data Scientist,3228349,AWS
Gojek,10+ yrs,Bengaluru,Data Scientist,3565162,Python
PayU,10+ yrs,Bengaluru,Data Scientist,3526491,Python
Gojek,10+ yrs,Bengaluru,Data Scientist,3774242,R
open data fabric,10+ yrs,Bengaluru,Data Scientist,4243130,Excel
Gojek,10+ yrs,Hyderabad,Data Scientist,3641760,Python
Gojek,10+ yrs,Bengaluru,Data Scientist,4391863,Python
Atlassian,10+ yrs,Bengaluru,Data Scientist,3343496,PowerBI
Atlassian,10+ yrs,Bengaluru,Data Scientist,3094946,Python
ESS CEE HR SOLUTIONS,10+ yrs,Hyderabad,Data Scientist,4407599,Excel
SSJ Solutions,10+ yrs,Bengaluru,Data Scientist,4018499,Python
Upman Placements Pvt Ltd,10+ yrs,Chennai,Data Scientist,3069319,Excel
Vrinda Global Private Limited,10+ yrs,Bengaluru,Data Scientist,4286572,Python
Orcapod Consulting Services Private Limited,10+ yrs,Bengaluru,Data Scientist,3143927,Python
Acme Services,10+ yrs,Bengaluru,Data Scientist,3542946,AWS
Orcapod Consulting Services Private Limited,10+ yrs,Bengaluru,Data Scientist,3257903,Python
Orcapod Consulting Services Private Limited,10+ yrs,Bengaluru,Data Scientist,4499800,Python
Infineon Technologies Pvt Ltd,10+ yrs,Bengaluru,Data Scientist,3358832,Spark
2Coms,10+ yrs,Bengaluru,Data Scientist,3575909,Excel
2Coms,10+ yrs,Bengaluru,Data Scientist,4316237,Python
BLEND360 INDIA PRIVATE LIMITED,10+ yrs,Mumbai,Data Scientist,3000033,Python
TECHVANTAGE SYSTEMS PRIVATE LIMITED,10+ yrs,Delhi,Data Scientist,3255865,Python
SPEARLINE INDIA PRIVATE LIMITED,10+ yrs,Bengaluru,Data Scientist,4028563,Python
ESS KAY FINCORP LIMITED,10+ yrs,Delhi,Data Scientist,3250882,Python
"KPI Partners, Inc.",10+ yrs,Bengaluru,Data Scientist,4451818,Spark
KPIT,10+ yrs,Bengaluru,Data Scientist,3102941,Python
KPIT,10+ yrs,Gurgaon,Data Scientist,3424294,Python
Eureka Outsourcing Solutions Pvt Ltd. on behalf of AmyGB,10+ yrs,Bengaluru,Data Scientist,3175517,Python
Wolters Kluwer,10+ yrs,Gurgaon,Data Scientist,3541122,Python
SANVIJAY ROLLING AND ENGINEERING LIMITED,10+ yrs,Hyderabad,Data Scientist,3560789,Excel
IHS Markit,10+ yrs,Chennai,Data Scientist,4159039,Python
Hinduja Global,10+ yrs,Chennai,Data Scientist,3241599,Python
Hinduja Global,10+ yrs,Gurgaon,Data Scientist,4078115,Python
SAP India Pvt.Ltd,10+ yrs,Delhi,Data Scientist,4135612,Spark
Sabio Mobile india Private Limited,10+ yrs,Bengaluru,Data Scientist,3934202,Python
MyITBridge,10+ yrs,Bengaluru,Data Scientist,3687356,Python
Boston Consulting Group,10+ yrs,Bengaluru,Data Scientist,4458264,Excel
Signify,10+ yrs,Bengaluru,Data Scientist,3854640,Tableau
Myntra,10+ yrs,Bengaluru,Data Scientist,3697616,Python
GSK India,10+ yrs,Mumbai,Data Scientist,4218711,Python
NVIDIA,10+ yrs,Delhi,Data Scientist,3248146,R
Ciena,10+ yrs,Bengaluru,Data Scientist,3557133,R
Thales,10+ yrs,Bengaluru,Data Scientist,3230843,Python
"Qualcomm Technologies, Inc",10+ yrs,Mumbai,Data Scientist,3834184,Excel
SALESFORCE,10+ yrs,Hyderabad,Data Scientist,3546810,Python
Baker Hughes,10+ yrs,Hyderabad,Data Scientist,4286709,Spark
Michelin,10+ yrs,Bengaluru,Data Scientist,3706219,Python
Adidas,10+ yrs,Gurgaon,Data Scientist,4062592,Excel
UPL,10+ yrs,Chennai,Data Scientist,3749929,Python
Larsen & Toubro (L&T),10+ yrs,Delhi,Data Scientist,3857150,Excel
eClerx,10+ yrs,Mumbai,Data Scientist,3598368,Excel
Quloi Private Limited,10+ yrs,Delhi,Data Scientist,4025164,Python
Adidas,10+ yrs,Hyderabad,Data Scientist,4332676,Python
Paytm,10+ yrs,Bengaluru,Data Scientist,4144888,R
ICERTIS Solutions,10+ yrs,Bengaluru,Data Scientist,3156361,Excel
Yatra Online Private Ltd,10+ yrs,Chennai,Data Scientist,4036299,Python
Yatra Online Private Ltd,10+ yrs,Bengaluru,Data Scientist,4054744,Excel
"OLX, Inc",10+ yrs,Bengaluru,Data Scientist,3569470,Python
Baker Hughes,10+ yrs,Bengaluru,Data Scientist,4353105,Oracle
Delhivery,10+ yrs,Bengaluru,Data Scientist,3546280,Excel
Bajaj Finserv,10+ yrs,Bengaluru,Data Scientist,3987745,Python
Michelin,10+ yrs,Bengaluru,Data Scientist,3495422,Python
Bajaj Finserv,10+ yrs,Delhi,Data Scientist,4320331,Excel
eClerx,10+ yrs,Bengaluru,DevOps Engineer,3370035,Python
The Walt Disney,10+ yrs,Bengaluru,DevOps Engineer,3092630,Python
NVIDIA,10+ yrs,Mumbai,DevOps Engineer,3724793,Python
Global Talent Pool,10+ yrs,Bengaluru,DevOps Engineer,3851807,Oracle
Accenture,10+ yrs,Hyderabad,DevOps Engineer,3931799,Python
Eli Lilly and Company,10+ yrs,Bengaluru,DevOps Engineer,3998617,AWS
Sportism,10+ yrs,Bengaluru,DevOps Engineer,3378546,Prometheus
ASCENT TECHNOSYSTEMS PRIVATE LIMITED,10+ yrs,Bengaluru,DevOps Engineer,3290378,Python
Michelin,10+ yrs,Bengaluru,Data Scientist,3029902,Python
OCN FOUR VENTURES LLP,10+ yrs,Gurgaon,Data Scientist,3242315,Python
Shadow Placements,10+ yrs,Noida,Data Scientist,3496204,Python
Persistent,10+ yrs,Bengaluru,Data Scientist,4395632,Python
BNY Mellon,10+ yrs,Bengaluru,Data Scientist,3431031,R
SGS GLOBAL SERVICES PRIVATE LIMITED,10+ yrs,Bengaluru,Data Scientist,3251820,Spark
Diverse Lynx,10+ yrs,Chennai,Data Scientist,3112490,Python
Skyleaf Consultants,10+ yrs,Gurgaon,Data Scientist,3560000,Python
Headstart Manpower Consultants,10+ yrs,Bengaluru,Data Scientist,4498059,Python
Bigshyft Hiring for Nykaa,10+ yrs,Bengaluru,Data Scientist,3134736,Python
Team Plus Staffing Solution Pvt Ltd,10+ yrs,Bengaluru,Data Scientist,3930956,Tableau
CHANGE LEADERS CONSULTING,10+ yrs,Chennai,Data Scientist,4052760,Python
Wipro,10+ yrs,Delhi,Data Scientist,4054291,Excel
Oracle,10+ yrs,Delhi,Data Scientist,3754788,Python
Mobile Premier League,10+ yrs,Mumbai,Data Scientist,3812267,Excel
Walmart,10+ yrs,Mumbai,Data Scientist,4118865,Python
Philips,10+ yrs,Mumbai,Data Scientist,3023224,Python
Pegasus Knowledge Solutions India Private Limited,10+ yrs,Delhi,Data Scientist,3619913,Python
Schneider Electric,10+ yrs,Bengaluru,Data Scientist,4370086,Python
IBM,10+ yrs,Bengaluru,Data Scientist,3447367,AWS
Applied Materials,10+ yrs,Bengaluru,DevOps Engineer,3142684,Python
BlackBuck,10+ yrs,Noida,DevOps Engineer,3123652,Python
Walmart,10+ yrs,Bengaluru,DevOps Engineer,3650561,Prometheus
Schneider Electric,10+ yrs,Bengaluru,DevOps Engineer,3840372,Oracle
Schneider Electric,10+ yrs,Gurgaon,DevOps Engineer,3213724,Python
24 7 ai,10+ yrs,Bengaluru,DevOps Engineer,3149641,Prometheus
Applied Materials,10+ yrs,Bengaluru,DevOps Engineer,3989052,Python
Walmart,10+ yrs,Hyderabad,DevOps Engineer,2896247,Python
Dell Technologies,10+ yrs,Hyderabad,DevOps Engineer,3814935,Python
IBM,10+ yrs,Bengaluru,DevOps Engineer,3492723,AWS
IBM,10+ yrs,Bengaluru,DevOps Engineer,2887226,Python
Applied Materials,10+ yrs,Chennai,DevOps Engineer,3797725,Python
IBM,10+ yrs,Delhi,DevOps Engineer,3288158,Python
CRED,10+ yrs,Mumbai,DevOps Engineer,3779044,AWS
Applied Materials,10+ yrs,Bengaluru,DevOps Engineer,3634650,Python
Becton Dickinson India Pvt Ltd,10+ yrs,Bengaluru,DevOps Engineer,3804791,Oracle
Walmart,10+ yrs,Chennai,DevOps Engineer,3295762,Python
Walmart,10+ yrs,Gurgaon,DevOps Engineer,2961496,Python
Swiggy,10+ yrs,Bengaluru,DevOps Engineer,3125942,Python
Meesho,10+ yrs,Bengaluru,Data Analyst,3974606,Python
Walmart,10+ yrs,Bengaluru,Data Analyst,4132625,R
Walmart,10+ yrs,Faridabad,Data Analyst,3541022,Python
