COMPANY,EXPERIENCE,LOCATION,TITLE,SALARY,SKILLS,CATEGORY
HCL Technologies,10+ yrs,Mumbai,Data Analyst,3600000.0,Python,Languages
Accenture,10+ yrs,Bangalore,Data Analyst,4000000.0,Python,Languages
IBM,10+ yrs,Mumbai,Data Analyst,4200000.0,Excel,Tools
KONE,10+ yrs,Delhi-NCR,Data Analyst,3500000.0,Excel,Tools
Ericsson,10+ yrs,Mumbai,Data Analyst,3400000.0,R,Languages
Maestro Headhunters LLP,10+ yrs,Mumbai,Data Analyst,4300000.0,Python,Languages
TRH Consultancy Services,10+ yrs,Delhi-NCR,Data Analyst,3700000.0,Python,Languages
Axcess Consultancy Services,10+ yrs,Hyderabad,Data Analyst,3800000.0,Python,Languages
Invesco,10+ yrs,Hyderabad,Data Analyst,4000000.0,Python,Languages
Accumed Practice Management DMCC,10+ yrs,Bangalore,Data Analyst,3500000.0,Python,Languages
ContractPodAi,10+ yrs,Chandigarh,Data Analyst,3700000.0,Python,Languages
eClerx,10+ yrs,Delhi-NCR,Data Analyst,4300000.0,Python,Languages
ICERTIS Solutions,10+ yrs,Ahmedabad,DevOps Engineer,3900000.0,Python,Languages
Oportun Inc,10+ yrs,Bangalore,DevOps Engineer,3000000.0,Python,Languages
PayPal,10+ yrs,Bangalore,DevOps Engineer,3000000.0,Python,Languages
TransOrg Solutions Services (P) Ltd.,10+ yrs,Bangalore,DevOps Engineer,3300000.0,Prometheus,Tools
2Coms,10+ yrs,Chennai,DevOps Engineer,3800000.0,Oracle,Cloud
M/S NILE,10+ yrs,Hyderabad,DevOps Engineer,3600000.0,Python,Languages
ZOLVE INNOVATIONS PRIVATE LIMITED,10+ yrs,Ahmedabad,DevOps Engineer,3900000.0,Python,Languages
Rolls Royce,10+ yrs,Hyderabad,DevOps Engineer,3600000.0,Oracle,Cloud
Applied Materials,10+ yrs,Bangalore,DevOps Engineer,3200000.0,Python,Languages
Walmart,10+ yrs,Chennai,DevOps Engineer,3600000.0,Python,Languages
VISA,10+ yrs,Pune,DevOps Engineer,3000000.0,Python,Languages
IBM,10+ yrs,Bangalore,DevOps Engineer,3600000.0,Python,Languages
IBM,10+ yrs,Bangalore,DevOps Engineer,3400000.0,Python,Languages
Walmart,10+ yrs,Bangalore,DevOps Engineer,2800000.0,Python,Languages
CRED,10+ yrs,Bangalore,DevOps Engineer,3700000.0,Python,Languages
Leading US MNC into Analytics,10+ yrs,Delhi-NCR,DevOps Engineer,3500000.0,Prometheus,Tools
BLEND360 INDIA PRIVATE LIMITED,10+ yrs,Hyderabad,DevOps Engineer,3400000.0,Oracle,Cloud
IBM,10+ yrs,Pune,DevOps Engineer,3700000.0,Python,Languages
HUDSON'S BAY SERVICES PRIVATE LIMITED,10+ yrs,Mumbai,DevOps Engineer,3200000.0,Python,Languages
Target,10+ yrs,Bangalore,DevOps Engineer,3800000.0,Python,Languages
Knowledge Foundry Business Solutions Pvt. Ltd.,10+ yrs,Hyderabad,DevOps Engineer,3900000.0,Python,Languages
Hanu Software Solutions,10+ yrs,Bangalore,DevOps Engineer,3100000.0,Python,Languages
Course5,10+ yrs,Delhi-NCR,DevOps Engineer,2900000.0,Prometheus,Tools
PayU,10+ yrs,Mumbai,DevOps Engineer,3000000.0,Python,Languages
PayPal,10+ yrs,Bangalore,DevOps Engineer,3600000.0,Python,Languages
IBM,10+ yrs,Pune,DevOps Engineer,3100000.0,Python,Languages
IBM,10+ yrs,Chandigarh,DevOps Engineer,2900000.0,Oracle,Cloud
IBM,10+ yrs,Hyderabad,DevOps Engineer,3700000.0,AWS,Cloud
IBM,10+ yrs,Mumbai,DevOps Engineer,2800000.0,Python,Languages
Ashkom Media India Private Limited,10+ yrs,Chandigarh,DevOps Engineer,3600000.0,Python,Languages
IDFC FIRST Bank,10+ yrs,Mumbai,DevOps Engineer,3600000.0,Python,Languages
eClerx,10+ yrs,Mumbai,DevOps Engineer,3100000.0,Python,Languages
Master Mind Consultancy,10+ yrs,Chandigarh,DevOps Engineer,3400000.0,Python,Languages
cliqhr.com,10+ yrs,Mumbai,DevOps Engineer,3000000.0,Oracle,Cloud
Hucon Solutions,10+ yrs,Pune,DevOps Engineer,3000000.0,Python,Languages
cliqhr.com,10+ yrs,Hyderabad,DevOps Engineer,3500000.0,Python,Languages
Target,10+ yrs,Bangalore,DevOps Engineer,3800000.0,Oracle,Cloud
TransOrg Solutions Services (P) Ltd.,10+ yrs,Delhi-NCR,Data Scientist,3100000.0,Flask,Frameworks
PRUDENT GLOBALTECH SOLUTIONS PRIVATE LIMITED,10+ yrs,Delhi-NCR,Data Scientist,4000000.0,Flask,Frameworks
Snaphunt,10+ yrs,Mumbai,Data Scientist,4100000.0,Flask,Frameworks
EASY DATA ANALYTICS TECHNOLOGY PRIVATE LIMITED,10+ yrs,Bangalore,Data Scientist,3300000.0,Flask,Frameworks
Huquo Consulting Pvt. Ltd,10+ yrs,Delhi-NCR,Data Scientist,4100000.0,Flask,Frameworks
2Coms,10+ yrs,Chennai,Data Scientist,3700000.0,Flask,Frameworks
AutomationEdge,10+ yrs,Mumbai,Data Scientist,4300000.0,Oracle,Cloud
Liases Foras Real Estate Rating and Research Private Limited,10+ yrs,Hyderabad,Data Scientist,3500000.0,Flask,Frameworks
Groupon,10+ yrs,Hyderabad,Data Scientist,3700000.0,Flask,Frameworks
ICAV Tech Pvt. Ltd.,10+ yrs,Bangalore,Data Scientist,4500000.0,Tableau,Tools
Liquiloans,10+ yrs,Chennai,Data Scientist,3500000.0,Flask,Frameworks
TotalAI Systems India LLP,10+ yrs,Bangalore,Data Scientist,4400000.0,Tableau,Tools
IBM,10+ yrs,Bangalore,Data Scientist,4300000.0,Flask,Frameworks
IBM,10+ yrs,Pune,Data Scientist,3400000.0,Flask,Frameworks
SIBIA Analytics and Consulting Services Pvt Ltd,10+ yrs,Pune,Data Scientist,3400000.0,Spark,Tools
Amdocs,10+ yrs,Chandigarh,Data Scientist,3700000.0,Flask,Frameworks
Ericsson Global Services,10+ yrs,Mumbai,Data Scientist,3600000.0,Flask,Frameworks
Peoplefy Infosolutions Pvt. Ltd.,10+ yrs,Ahmedabad,Data Scientist,3200000.0,Flask,Frameworks
Ocrolus East,10+ yrs,Delhi-NCR,Data Scientist,3800000.0,AWS,Cloud
fountain9,10+ yrs,Hyderabad,Data Scientist,3100000.0,Spark,Tools
Evolent Health,10+ yrs,Bangalore,Data Scientist,3300000.0,Flask,Frameworks
Creative Hands HR Consultancy,10+ yrs,Delhi-NCR,Data Scientist,4300000.0,Flask,Frameworks
techcarrot FZ LLC,10+ yrs,Chennai,Data Scientist,3100000.0,Oracle,Cloud
Tridiagonal Solutions Pvt. Ltd.,10+ yrs,Chennai,Data Scientist,3300000.0,Flask,Frameworks
PayPal,10+ yrs,Hyderabad,Data Scientist,3000000.0,Python,Languages
Muthoot Microfin,10+ yrs,Bangalore,Data Scientist,3400000.0,Python,Languages
PayU Payments,10+ yrs,Hyderabad,Data Scientist,3900000.0,Python,Languages
BNY Mellon,10+ yrs,Chandigarh,Data Scientist,4100000.0,Python,Languages
Salesforce,10+ yrs,Delhi-NCR,Data Scientist,3400000.0,Excel,Tools
PayPal,10+ yrs,Chandigarh,Data Scientist,4500000.0,Python,Languages
PayPal,10+ yrs,Chandigarh,Data Scientist,3800000.0,Python,Languages
PayPal,10+ yrs,Bangalore,Data Scientist,3800000.0,Excel,Tools
Impetus,10+ yrs,Mumbai,Data Scientist,4100000.0,R,Languages
CHANGE LEADERS CONSULTING,10+ yrs,Delhi-NCR,Data Scientist,3800000.0,Python,Languages
CHANGE LEADERS CONSULTING,10+ yrs,Ahmedabad,Data Scientist,3400000.0,Python,Languages
KWALEE INDIA PRIVATE LIMITED,10+ yrs,Ahmedabad,Data Scientist,4400000.0,Python,Languages
Huquo Consulting Pvt. Ltd,10+ yrs,Bangalore,Data Scientist,4300000.0,Python,Languages
Hucon Solutions,10+ yrs,Delhi-NCR,Data Scientist,3400000.0,Python,Languages
TalentCo Search Pvt Ltd,10+ yrs,Bangalore,Data Scientist,3300000.0,Python,Languages
Career Infosystem,10+ yrs,Mumbai,Data Scientist,3900000.0,Python,Languages
Confidential,10+ yrs,Bangalore,Data Scientist,3500000.0,Excel,Tools
Confidential,10+ yrs,Bangalore,Data Scientist,4300000.0,AWS,Cloud
Confidential,10+ yrs,Pune,Data Scientist,3000000.0,Python,Languages
SAP India Pvt.Ltd,10+ yrs,Delhi-NCR,Data Scientist,3400000.0,Python,Languages
ALOIS TECHNOLOGIES LLP,10+ yrs,Chandigarh,DevOps Engineer,3300000.0,Python,Languages
Jobs Territory,10+ yrs,Pune,DevOps Engineer,3100000.0,Python,Languages
Randstad India Private Limited,10+ yrs,Bangalore,DevOps Engineer,3800000.0,Python,Languages
TAMCHERRY TECHNOLOGIES PRIVATE LIMITED,10+ yrs,Hyderabad,DevOps Engineer,3800000.0,Python,Languages
Aurigo Software Technologies Pvt Ltd,10+ yrs,Delhi-NCR,DevOps Engineer,2800000.0,Prometheus,Tools
Aidetic Software Pvt Ltd,10+ yrs,Bangalore,DevOps Engineer,3900000.0,Python,Languages
TEOCO Software,10+ yrs,Chandigarh,DevOps Engineer,3500000.0,Prometheus,Tools
TrueView HR Consulting Pvt. Ltd,10+ yrs,Ahmedabad,DevOps Engineer,3800000.0,Python,Languages
Spencer N Hills Consulting Pvt Ltd,10+ yrs,Bangalore,DevOps Engineer,3900000.0,Python,Languages
2Coms,10+ yrs,Coimbatore,DevOps Engineer,3400000.0,Python,Languages
TEKISHUB CONSULTING SERVICES PRIVATE LIMITED,10+ yrs,Bangalore,DevOps Engineer,3800000.0,Oracle,Cloud
CARDINAL HEALTH INTERNATIONAL INDIA PRIVATE LIMITE,10+ yrs,Mumbai,DevOps Engineer,2900000.0,AWS,Cloud
Encora,10+ yrs,Pune,DevOps Engineer,3800000.0,Python,Languages
TALENT500 TECH (INDIA) PRIVATE LIMITED,10+ yrs,Lucknow,DevOps Engineer,3900000.0,Prometheus,Tools
Contactx India,10+ yrs,Bangalore,DevOps Engineer,3300000.0,Python,Languages
IBM,10+ yrs,Chennai,DevOps Engineer,3300000.0,Python,Languages
IBM,10+ yrs,Bangalore,Data Scientist,3200000.0,Python,Languages
NSE.IT Ltd,10+ yrs,Pune,Data Scientist,4200000.0,Python,Languages
NSE.IT Ltd,10+ yrs,Chennai,Data Scientist,3000000.0,AWS,Cloud
CARDINAL HEALTH INTERNATIONAL INDIA PRIVATE LIMITE,10+ yrs,Mumbai,Data Scientist,3400000.0,Python,Languages
Corner Tree Consulting,10+ yrs,Bangalore,Data Scientist,3800000.0,R,Languages
Confidential,10+ yrs,Pune,Data Scientist,4400000.0,Python,Languages
Hucon Solutions,10+ yrs,Chennai,Data Scientist,3400000.0,Python,Languages
Uniqon Consulting Private Limited,10+ yrs,Hyderabad,Data Scientist,3000000.0,R,Languages
Orbit Techsol (W) Pvt Ltd,10+ yrs,Bangalore,Data Scientist,3800000.0,Spark,Tools
Abzooba India Infotech Private Limited,10+ yrs,Chandigarh,Data Scientist,3500000.0,Python,Languages
Teqforce Solutions Pvt Ltd,10+ yrs,Hyderabad,Data Scientist,4100000.0,Python,Languages
Darshan Soft-Tech Pvt. Ltd,10+ yrs,Hyderabad,Data Scientist,3200000.0,Python,Languages
PRAYOSHA FOOD SERVICES PRIVATE LIMITED,10+ yrs,Bangalore,Data Scientist,4200000.0,Python,Languages
S P A Enterprise Info Services (India) Private Lim,10+ yrs,Hyderabad,Data Scientist,3500000.0,Python,Languages
Teqforce Solutions Pvt Ltd,10+ yrs,Mumbai,Data Scientist,4400000.0,Oracle,Cloud
Virtue Analytics,10+ yrs,Hyderabad,DevOps Engineer,3900000.0,Oracle,Cloud
Virtue Analytics,10+ yrs,Pune,DevOps Engineer,3500000.0,Python,Languages
Virtue Analytics,10+ yrs,Bangalore,Data Scientist,3800000.0,Python,Languages
Foxberry Technologies Pvt. Ltd.,10+ yrs,Chennai,Data Scientist,3900000.0,R,Languages
UNBXD Software Pvt Ltd,10+ yrs,Bangalore,DevOps Engineer,3700000.0,Oracle,Cloud
Coditas Technologies Pvt Ltd,10+ yrs,Delhi-NCR,DevOps Engineer,3700000.0,Python,Languages
Pasona,10+ yrs,Chandigarh,DevOps Engineer,2900000.0,Python,Languages
AXA Technology Services India Pvt. Ltd,10+ yrs,Bangalore,DevOps Engineer,3500000.0,Python,Languages
Peoplefy Infosolutions Pvt. Ltd.,10+ yrs,Mumbai,DevOps Engineer,2900000.0,Python,Languages
AXA Technology Services India Pvt. Ltd,10+ yrs,Bangalore,DevOps Engineer,3800000.0,Python,Languages
2Coms,10+ yrs,Mumbai,DevOps Engineer,2900000.0,Python,Languages
Green Agrevolution Pvt. Ltd. (DeHaat),10+ yrs,Chandigarh,DevOps Engineer,3900000.0,Python,Languages
SAP India Pvt.Ltd,10+ yrs,Chandigarh,DevOps Engineer,3000000.0,Python,Languages
GENINVO TECHNOLOGIES PRIVATE LIMITED,10+ yrs,Chennai,DevOps Engineer,3800000.0,Python,Languages
eNFLUENCE IT Services Pvt. Ltd.,10+ yrs,Pune,DevOps Engineer,2900000.0,Python,Languages
eNFLUENCE IT Services Pvt. Ltd.,10+ yrs,Bangalore,DevOps Engineer,3000000.0,Python,Languages
Accenture,10+ yrs,Mumbai,DevOps Engineer,3000000.0,Python,Languages
Ankit Bhatnagar Consultant,10+ yrs,Bangalore,Data Scientist,4000000.0,Python,Languages
Capgemini,10+ yrs,Hyderabad,Data Scientist,3500000.0,Python,Languages
Vodafone India Services Pvt.Ltd,10+ yrs,Coimbatore,Data Scientist,3800000.0,Python,Languages
Huquo Consulting Pvt. Ltd,10+ yrs,Mumbai,Data Scientist,3100000.0,Python,Languages
TalentCo Search Pvt Ltd,10+ yrs,Mumbai,Data Scientist,3000000.0,Excel,Tools
Okda Solutions,10+ yrs,Delhi-NCR,DevOps Engineer,3900000.0,Python,Languages
Master Mind Consultancy,10+ yrs,Mumbai,DevOps Engineer,3500000.0,Python,Languages
Jobs Territory,10+ yrs,Chennai,DevOps Engineer,3900000.0,AWS,Cloud
Sriiom Human Resource Solutions LLP,10+ yrs,Lucknow,DevOps Engineer,3000000.0,Python,Languages
Applied Materials,10+ yrs,Mumbai,DevOps Engineer,3700000.0,Prometheus,Tools
The millionvisions,10+ yrs,Delhi-NCR,DevOps Engineer,3900000.0,Prometheus,Tools
AXA Technology Services India Pvt. Ltd,10+ yrs,Delhi-NCR,Data Scientist,3700000.0,R,Languages
Knowledge Foundry,10+ yrs,Chennai,Data Scientist,4300000.0,Python,Languages
KWALEE INDIA PRIVATE LIMITED,10+ yrs,Bangalore,Data Scientist,3400000.0,Excel,Tools
TALENT500 TECH (INDIA) PRIVATE LIMITED,10+ yrs,Mumbai,Data Scientist,3900000.0,Spark,Tools
TeamPlus Staffing Solution Pvt Ltd,10+ yrs,Mumbai,Data Scientist,3200000.0,Python,Languages
AXA Technology Services India Pvt. Ltd,10+ yrs,Delhi-NCR,Data Scientist,3000000.0,Python,Languages
Boston Consulting Group,10+ yrs,Mumbai,Data Scientist,4200000.0,Excel,Tools
Paytm,10+ yrs,Ahmedabad,Data Scientist,4200000.0,Python,Languages
Walmart,10+ yrs,Delhi-NCR,Data Scientist,3500000.0,Python,Languages
Walmart,10+ yrs,Delhi-NCR,DevOps Engineer,2900000.0,AWS,Cloud
Kimberly-Clark Lever Limited,10+ yrs,Hyderabad,Data Scientist,3800000.0,Python,Languages
Kimberly-Clark Lever Limited,10+ yrs,Chennai,Data Scientist,3100000.0,Excel,Tools
Flipkart,10+ yrs,Pune,Data Scientist,3300000.0,Python,Languages
Uber,10+ yrs,Bangalore,Data Scientist,3500000.0,Excel,Tools
Walmart,10+ yrs,Bangalore,Data Scientist,3400000.0,Spark,Tools
Ericsson Global Services,10+ yrs,Chandigarh,Data Scientist,3000000.0,Python,Languages
Walmart,10+ yrs,Chennai,Data Scientist,4000000.0,Excel,Tools
Ericsson Global Services,10+ yrs,Delhi-NCR,Data Scientist,4500000.0,Python,Languages
Flipkart,10+ yrs,Ahmedabad,Data Scientist,3700000.0,Excel,Tools
Delhivery,10+ yrs,Hyderabad,Data Scientist,4300000.0,PowerBI,Tools
Swiggy,10+ yrs,Bangalore,Data Scientist,3600000.0,Python,Languages
Uber,10+ yrs,Bangalore,Data Scientist,3800000.0,Python,Languages
AT and T Global Business Services India P. Ltd.,10+ yrs,Delhi-NCR,Data Scientist,3600000.0,Python,Languages
Thomson Reuters,10+ yrs,Bangalore,Data Scientist,3800000.0,Python,Languages
Microsoft,10+ yrs,Mumbai,Data Scientist,3400000.0,Oracle,Cloud
Accenture,10+ yrs,Mumbai,Data Scientist,3500000.0,R,Languages
Convergence Infotech Ltd,10+ yrs,Pune,Data Scientist,4100000.0,Spark,Tools
Boston Consulting Group,10+ yrs,Pune,Data Scientist,3300000.0,Excel,Tools
Becton Dickinson India Pvt Ltd,10+ yrs,Bangalore,Data Scientist,3900000.0,Python,Languages
Genpact,10+ yrs,Mumbai,Data Scientist,3700000.0,Python,Languages
Groww,10+ yrs,Bangalore,Data Scientist,3900000.0,Python,Languages
Philips,10+ yrs,Ahmedabad,Data Scientist,4000000.0,Python,Languages
Freshworks,10+ yrs,Delhi-NCR,Data Scientist,4400000.0,Python,Languages
Truecaller,10+ yrs,Pune,Data Scientist,4200000.0,Python,Languages
Truecaller,10+ yrs,Delhi-NCR,Data Scientist,3900000.0,Excel,Tools
Bloom Consulting Services,10+ yrs,Mumbai,Data Scientist,3300000.0,Python,Languages
Gojek,10+ yrs,Bangalore,Data Scientist,3200000.0,AWS,Cloud
Gojek,10+ yrs,Pune,Data Scientist,3600000.0,Python,Languages
PayU,10+ yrs,Ahmedabad,Data Scientist,3500000.0,Python,Languages
Gojek,10+ yrs,Delhi-NCR,Data Scientist,3800000.0,R,Languages
open data fabric,10+ yrs,Mumbai,Data Scientist,4200000.0,Excel,Tools
Gojek,10+ yrs,Hyderabad,Data Scientist,3600000.0,Python,Languages
Gojek,10+ yrs,Chennai,Data Scientist,4400000.0,Python,Languages
Atlassian,10+ yrs,Delhi-NCR,Data Scientist,3300000.0,PowerBI,Tools
Atlassian,10+ yrs,Hyderabad,Data Scientist,3100000.0,Python,Languages
ESS CEE HR SOLUTIONS,10+ yrs,Mumbai,Data Scientist,4400000.0,Excel,Tools
SSJ Solutions,10+ yrs,Bangalore,Data Scientist,4000000.0,Python,Languages
Upman Placements Pvt Ltd,10+ yrs,Chennai,Data Scientist,3100000.0,Excel,Tools
Vrinda Global Private Limited,10+ yrs,Delhi-NCR,Data Scientist,4300000.0,Python,Languages
Orcapod Consulting Services Private Limited,10+ yrs,Mumbai,Data Scientist,3100000.0,Python,Languages
Acme Services,10+ yrs,Chennai,Data Scientist,3500000.0,AWS,Cloud
Orcapod Consulting Services Private Limited,10+ yrs,Delhi-NCR,Data Scientist,3300000.0,Python,Languages
Orcapod Consulting Services Private Limited,10+ yrs,Bangalore,Data Scientist,4500000.0,Python,Languages
Infineon Technologies Pvt Ltd,10+ yrs,Ahmedabad,Data Scientist,3400000.0,Spark,Tools
2Coms,10+ yrs,Hyderabad,Data Scientist,3600000.0,Excel,Tools
2Coms,10+ yrs,Chennai,Data Scientist,4300000.0,Python,Languages
BLEND360 INDIA PRIVATE LIMITED,10+ yrs,Mumbai,Data Scientist,3000000.0,Python,Languages
TECHVANTAGE SYSTEMS PRIVATE LIMITED,10+ yrs,Mumbai,Data Scientist,3300000.0,Python,Languages
SPEARLINE INDIA PRIVATE LIMITED,10+ yrs,Hyderabad,Data Scientist,4000000.0,Python,Languages
ESS KAY FINCORP LIMITED,10+ yrs,Hyderabad,Data Scientist,3300000.0,Python,Languages
"KPI Partners, Inc.",10+ yrs,Delhi-NCR,Data Scientist,4500000.0,Spark,Tools
KPIT,10+ yrs,Pune,Data Scientist,3100000.0,Python,Languages
KPIT,10+ yrs,Mumbai,Data Scientist,3400000.0,Python,Languages
Eureka Outsourcing Solutions Pvt Ltd. on behalf of AmyGB,10+ yrs,Bangalore,Data Scientist,3200000.0,Python,Languages
Wolters Kluwer,10+ yrs,Ahmedabad,Data Scientist,3500000.0,Python,Languages
SANVIJAY ROLLING AND ENGINEERING LIMITED,10+ yrs,Chennai,Data Scientist,3600000.0,Excel,Tools
IHS Markit,10+ yrs,Pune,Data Scientist,4200000.0,Python,Languages
Hinduja Global,10+ yrs,Delhi-NCR,Data Scientist,3200000.0,Python,Languages
Hinduja Global,10+ yrs,Hyderabad,Data Scientist,4100000.0,Python,Languages
SAP India Pvt.Ltd,10+ yrs,Pune,Data Scientist,4100000.0,Spark,Tools
Sabio Mobile india Private Limited,10+ yrs,Pune,Data Scientist,3900000.0,Python,Languages
MyITBridge,10+ yrs,Mumbai,Data Scientist,3700000.0,Python,Languages
Boston Consulting Group,10+ yrs,Pune,Data Scientist,4500000.0,Excel,Tools
Signify,10+ yrs,Pune,Data Scientist,3900000.0,Tableau,Tools
Myntra,10+ yrs,Hyderabad,Data Scientist,3700000.0,Python,Languages
GSK India,10+ yrs,Pune,Data Scientist,4200000.0,Python,Languages
NVIDIA,10+ yrs,Delhi-NCR,Data Scientist,3200000.0,R,Languages
Ciena,10+ yrs,Chennai,Data Scientist,3600000.0,R,Languages
Thales,10+ yrs,Bangalore,Data Scientist,3200000.0,Python,Languages
"Qualcomm Technologies, Inc",10+ yrs,Hyderabad,Data Scientist,3800000.0,Excel,Tools
SALESFORCE,10+ yrs,Bangalore,Data Scientist,3500000.0,Python,Languages
Baker Hughes,10+ yrs,Delhi-NCR,Data Scientist,4300000.0,Spark,Tools
Michelin,10+ yrs,Bangalore,Data Scientist,3700000.0,Python,Languages
Adidas,10+ yrs,Bangalore,Data Scientist,4100000.0,Excel,Tools
UPL,10+ yrs,Mumbai,Data Scientist,3700000.0,Python,Languages
Larsen & Toubro (L&T),10+ yrs,Bangalore,Data Scientist,3900000.0,Excel,Tools
eClerx,10+ yrs,Delhi-NCR,Data Scientist,3600000.0,Excel,Tools
Quloi Private Limited,10+ yrs,Delhi-NCR,Data Scientist,4000000.0,Python,Languages
Adidas,10+ yrs,Chennai,Data Scientist,4300000.0,Python,Languages
Paytm,10+ yrs,Bangalore,Data Scientist,4100000.0,R,Languages
ICERTIS Solutions,10+ yrs,Chandigarh,Data Scientist,3200000.0,Excel,Tools
Yatra Online Private Ltd,10+ yrs,Ahmedabad,Data Scientist,4000000.0,Python,Languages
Yatra Online Private Ltd,10+ yrs,Mumbai,Data Scientist,4100000.0,Excel,Tools
"OLX, Inc",10+ yrs,Coimbatore,Data Scientist,3600000.0,Python,Languages
Baker Hughes,10+ yrs,Mumbai,Data Scientist,4400000.0,Oracle,Cloud
Delhivery,10+ yrs,Mumbai,Data Scientist,3500000.0,Excel,Tools
